language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
emae1237,-,-,-,-,-,N,a,f,u,-,r,u,-,-
futu1245,-,-,-,a,-,g,a,f,u,-,r,u,-,-
tong1325,-,-,h,o,-,N,o,f,u,-,l,u,-,-
wall1257,-,-,h,o,-,N,o,f,u,-,l,u,-,-
east2447,-,-,-,a,-,N,a,f,u,-,l,u,-,-
tiko1237,-,-,-,a,-,N,a,f,u,-,r,u,-,-
niue1239,-,-,h,o,-,N,o,f,u,-,l,u,-,-
samo1305,-,-,-,-,-,s,e,f,u,-,l,u,-,-
tuva1244,-,-,-,-,-,g,a,f,u,-,l,u,-,-
anut1237,-,-,-,a,-,N,a,p,u,-,r,u,-,-
renn1242,-,-,-,a,-,N,a,h,u,n,g,u,-,-
onto1237,-,-,s,a,-,N,a,h,u,-,l,u,-,-
sika1261,-,-,s,-,-,-,e,h,u,-,-,i,-,-
nuku1259,-,-,h,a,-,n,a,h,u,-,r,u,-,-
pile1238,-,-,-,-,-,k,a,-,-,-,t,o,-,a
pile1238,-,-,-,-,-,-,-,-,-,-,d,u,m,a
kapi1249,m,a,t,a,-,N,a,h,o,-,r,u,-,-
tuam1242,-,-,-,-,-,N,a,h,u,-,r,u,-,-
penr1237,-,-,-,-,-,N,a,h,u,-,r,u,-,-
raro1241,-,-,-,-,-,N,a,7,u,-,r,u,-,-
mang1401,-,-,r,o,-,N,o,7,u,-,r,u,-,-
maor1246,-,-,h,a,-,N,a,h,u,-,r,u,-,-
maor1246,-,-,t,e,-,k,a,-,-,-,-,u,-,-
puka1242,-,-,l,a,u,N,a,-,u,-,l,u,-,-
rapa1244,-,-,-,a,-,N,a,h,u,-,r,u,-,-
rapa1244,-,-,-,-,-,k,a,-,u,a,t,u,-,-
nort2845,-,-,7,o,-,n,o,h,u,-,7,u,-,-
nort2845,-,-,7,o,-,k,o,h,u,-,7,u,-,-
hawa1245,-,-,-,a,-,n,a,h,u,-,l,u,-,-
hawa1245,-,-,-,-,-,-,-,7,u,-,m,i,-,-
tahi1242,-,-,-,-,-,7,a,h,u,-,r,u,-,-
ruru1237,-,-,-,-,-,7,a,7,u,-,r,u,-,-
raiv1237,-,-,-,-,-,7,a,h,u,-,G,u,-,-
mele1250,-,-,s,i,-,N,o,f,u,-,r,u,-,-
