language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
tuam1242,-,-,-,-,a,-,-,r,-,-,a,-,-
penr1237,-,-,-,-,a,-,-,r,-,-,a,-,-
raro1241,-,-,-,-,a,-,-,r,-,-,a,-,-
mang1401,-,-,-,-,a,-,-,r,-,-,a,-,-
maor1246,-,-,-,-,a,-,-,r,-,-,a,-,-
raka1237,p,-,-,-,u,-,-,r,u,m,u,-,-
raka1237,-,-,-,-,a,-,-,r,-,-,a,-,-
puka1242,N,u,t,u,a,-,-,l,-,-,a,-,-
rapa1244,-,-,-,-,a,-,-,r,-,-,a,-,-
nort2845,v,-,-,-,a,-,-,7,-,-,a,-,-
hawa1245,-,-,-,-,a,-,-,l,-,-,a,-,-
tahi1242,p,-,-,-,u,-,-,r,u,m,u,-,-
tahi1242,7,-,-,-,e,-,-,7,-,-,a,-,-
tahi1242,-,-,-,-,a,-,-,r,-,-,a,-,-
emae1237,-,-,-,-,a,-,-,r,-,-,a,-,-
futu1245,-,-,-,-,-,-,-,r,-,-,e,t,u
wall1257,-,-,-,-,a,-,-,l,-,-,a,-,-
east2447,-,-,-,-,a,-,-,l,-,-,a,-,-
tiko1237,-,-,-,-,a,-,-,r,-,-,a,-,-
niue1239,h,-,-,-,a,-,-,l,-,-,a,-,-
anut1237,-,-,-,-,a,-,-,r,-,-,a,-,-
samo1305,-,-,-,-,a,-,-,l,-,-,a,-,-
tuva1244,-,-,-,-,a,u,a,l,-,-,a,-,-
tong1325,h,-,-,-,a,-,-,l,-,-,a,-,-
renn1242,-,-,-,-,a,-,-,n,-,g,a,-,-
onto1237,-,-,-,-,a,-,-,l,-,-,a,-,-
sika1261,-,-,-,-,a,-,-,l,-,-,a,-,-
nuku1259,h,-,-,-,a,-,-,r,e,n,a,-,-
pile1238,-,-,-,-,a,-,-,l,-,-,a,-,-
kapi1249,-,-,-,-,a,-,-,l,-,-,a,-,-
mele1250,-,-,-,-,a,-,-,r,-,-,a,-,-
