language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
tuam1242,-,-,t,-,-,a,h,u,-,-,-
tuam1242,-,-,t,-,-,-,-,u,N,i,-
penr1237,-,-,t,-,-,a,h,u,-,-,-
raro1241,-,-,t,-,-,a,7,u,-,-,-
raro1241,-,-,t,-,-,u,t,u,N,i,-
mang1401,-,-,t,-,-,a,7,u,-,-,-
mang1401,-,-,t,-,-,u,t,u,-,-,-
mang1401,-,-,k,-,-,a,7,a,-,-,-
maor1246,-,-,t,-,-,a,h,u,-,-,-
raka1237,-,-,k,-,-,-,-,a,-,-,-
raka1237,-,-,t,-,-,u,t,u,-,-,-
puka1242,-,-,t,-,-,u,t,u,-,-,-
rapa1244,-,-,t,-,-,u,t,u,-,-,-
nort2845,-,-,t,-,-,u,t,u,-,-,-
nort2845,h,a,k,a,-,u,7,a,-,-,-
hawa1245,-,-,7,-,-,-,-,a,-,-,-
hawa1245,-,-,k,-,-,u,n,i,-,-,-
tahi1242,-,-,t,-,-,u,t,u,7,i,-
emae1237,-,-,t,-,-,u,N,i,-,a,-
futu1245,-,-,t,-,-,u,N,i,-,a,-
wall1257,-,-,t,-,-,u,t,u,-,-,-
east2447,-,-,s,-,-,u,s,u,n,u,-
tiko1237,-,-,t,-,-,a,f,u,-,-,-
tiko1237,-,-,t,-,-,u,t,u,-,-,-
niue1239,-,-,t,-,-,a,f,u,-,-,-
niue1239,-,-,t,-,-,-,-,u,N,i,-
anut1237,-,-,t,a,p,u,-,-,-,-,-
anut1237,-,-,t,-,-,u,N,i,-,a,-
anut1237,-,-,t,-,-,u,t,u,-,-,-
samo1305,-,-,-,-,-,-,m,u,-,-,-
samo1305,-,-,s,-,-,u,s,u,n,u,-
samo1305,-,-,t,-,-,a,f,u,-,-,-
tuva1244,-,-,t,-,-,a,f,u,-,-,-
tuva1244,-,-,t,-,-,-,-,u,g,i,a
tong1325,-,-,t,-,-,u,t,u,-,-,-
renn1242,-,-,t,-,-,u,N,i,-,a,-
renn1242,-,-,t,-,-,u,t,u,-,-,-
onto1237,-,-,k,-,-,u,N,i,-,-,-
sika1261,-,-,t,-,-,u,n,i,-,a,-
sika1261,-,-,t,-,-,u,t,u,-,-,-
nuku1259,-,-,t,-,t,u,n,i,-,-,-
pile1238,-,-,k,-,-,-,h,a,-,-,-
pile1238,-,-,u,-,-,-,l,a,-,-,-
kapi1249,-,-,t,-,-,u,N,i,-,-,-
kapi1249,-,-,d,-,-,u,d,u,-,-,-
mele1250,-,-,t,-,-,u,N,i,-,a,-
