language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
tuam1242,-,-,-,-,-,a,-,-,h,i,-
penr1237,-,-,-,-,-,a,-,-,h,i,-
raro1241,-,-,-,-,-,a,-,-,7,i,-
mang1401,-,-,-,-,-,a,-,-,7,i,-
maor1246,-,-,-,-,-,a,-,-,h,i,-
raka1237,-,-,-,-,-,a,-,-,h,i,-
puka1242,-,-,-,-,-,a,-,-,w,i,-
rapa1244,-,-,-,-,-,a,-,-,h,i,-
nort2845,-,-,-,-,-,a,-,-,h,i,-
hawa1245,-,-,-,-,-,a,-,-,h,i,-
tahi1242,-,-,-,-,-,a,u,a,h,i,-
emae1237,-,-,-,-,-,a,-,-,f,i,-
futu1245,-,-,-,-,-,a,-,-,f,i,-
wall1257,-,-,-,-,-,a,-,-,f,i,-
east2447,-,-,-,-,-,a,-,-,f,i,-
tiko1237,-,-,-,-,-,a,-,-,f,i,-
niue1239,-,-,-,-,-,a,-,-,f,i,-
anut1237,-,-,-,-,-,a,-,-,p,i,-
samo1305,-,-,-,-,-,a,-,-,f,i,-
tuva1244,-,-,-,-,-,a,-,-,f,i,-
tuva1244,k,a,v,a,k,a,-,-,v,a,-
tong1325,-,-,-,-,-,a,-,-,f,i,-
renn1242,-,-,-,-,-,a,-,-,h,i,-
onto1237,-,-,-,-,-,a,-,-,h,i,-
sika1261,-,-,-,-,-,a,-,-,h,i,-
nuku1259,-,-,-,-,-,a,-,-,h,i,-
pile1238,-,-,-,-,-,-,-,-,k,e,u
kapi1249,-,-,-,-,-,a,-,-,h,i,-
mele1250,-,-,-,-,-,a,-,-,f,i,-
