language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
tuam1242,h,-,-,-,-,-,o,k,-,o,-,-,-,-
penr1237,h,-,-,-,-,-,o,k,-,o,-,-,-,-
raro1241,7,-,-,-,-,-,o,k,-,o,-,-,-,-
mang1401,7,-,-,-,-,-,o,k,-,o,-,-,-,-
maor1246,h,-,-,-,-,-,o,k,-,o,-,-,-,-
puka1242,-,-,-,-,-,-,o,k,-,o,-,-,-,-
rapa1244,h,-,-,-,-,-,o,7,-,o,-,-,-,-
rapa1244,m,-,-,-,-,-,o,n,-,o,-,-,-,-
nort2845,h,-,-,-,-,-,o,7,-,o,-,-,-,-
hawa1245,k,-,-,-,-,-,u,7,-,a,-,-,i,-
tahi1242,h,-,-,-,-,-,o,7,-,o,m,a,i,-
futu1245,t,a,-,k,a,m,a,t,-,-,-,-,a,-
east2447,f,a,-,k,-,-,a,t,a,u,-,-,-,-
east2447,t,-,-,-,-,-,o,t,-,o,N,-,i,-
niue1239,-,-,-,-,-,-,-,t,a,u,-,-,i,-
anut1237,-,-,-,-,-,-,-,t,a,u,-,-,i,-
samo1305,t,a,u,t,-,-,o,t,-,o,N,-,i,-
samo1305,f,a,-,7,-,-,a,t,a,u,m,a,i,-
tuva1244,-,-,-,t,-,-,a,t,a,-,-,-,-,-
tuva1244,f,a,-,k,-,-,a,t,a,u,m,a,i,-
tong1325,f,a,-,k,-,-,a,t,a,u,-,-,-,-
renn1242,-,-,-,-,-,-,-,t,a,u,7,-,i,-
onto1237,-,-,-,-,-,-,-,s,-,u,-,-,i,-
sika1261,-,-,-,-,-,-,-,s,-,u,-,-,i,-
nuku1259,-,-,-,-,-,-,-,t,a,u,v,-,i,-
pile1238,-,-,-,-,-,-,-,t,a,u,-,-,i,a
kapi1249,h,-,-,-,-,-,-,-,-,u,-,-,i,-
