language,x1,x2,x3,x4,x5,x6
emae1237,-,t,o,-,r,u
futu1245,-,t,o,-,r,u
poly1242,-,t,o,-,l,u
tong1325,-,t,o,-,l,u
wall1257,-,t,o,-,l,u
east2447,-,t,o,-,l,u
tiko1237,-,t,o,-,r,u
niue1239,-,t,o,-,l,u
samo1305,e,t,o,-,l,u
tuva1244,-,t,o,-,l,u
anut1237,-,t,o,-,r,u
renn1242,-,t,o,n,g,u
onto1237,-,k,o,-,l,u
sika1261,-,t,o,-,l,u
nuku1259,-,t,o,-,r,u
pile1238,-,t,o,-,l,u
kapi1249,-,d,o,-,l,u
tuam1242,-,t,o,-,r,u
penr1237,-,t,o,-,r,u
raro1241,-,t,o,-,r,u
mang1401,-,t,o,-,r,u
maor1246,-,t,o,-,r,u
raka1237,-,t,o,-,r,u
puka1242,-,t,o,-,l,u
rapa1244,-,t,o,-,r,u
nort2845,-,t,o,-,7,u
hawa1245,-,k,o,-,l,u
tahi1242,-,t,o,-,r,u
ruru1237,-,t,o,-,r,u
raiv1237,-,t,o,-,G,u
mele1250,e,t,o,-,r,u
