language,x1,x2,x3,x4
emae1237,a,k,u,e
futu1245,-,k,o,e
poly1242,-,k,o,e
tong1325,-,k,o,e
wall1257,-,k,-,e
wall1257,-,k,o,e
east2447,-,k,-,e
east2447,-,k,o,e
tiko1237,-,k,-,e
tiko1237,-,k,o,e
niue1239,-,k,o,e
samo1305,-,7,o,e
tuva1244,-,k,-,e
anut1237,-,k,-,e
anut1237,-,k,o,e
renn1242,-,k,o,e
onto1237,-,7,o,e
sika1261,-,k,o,e
nuku1259,-,k,o,e
pile1238,-,k,o,e
kapi1249,-,g,o,e
tuam1242,-,k,o,e
penr1237,-,k,o,e
raro1241,-,k,o,e
mang1401,-,k,o,e
maor1246,-,k,o,e
raka1237,-,k,o,e
puka1242,-,k,o,e
puka1242,-,-,o,u
rapa1244,-,k,o,u
nort2845,-,7,o,e
hawa1245,-,7,o,e
tahi1242,-,7,o,e
ruru1237,-,7,o,e
raiv1237,-,7,o,e
mele1250,a,k,o,e
