language,x1,x2,x3,x4,x5
tuam1242,-,h,i,t,u
penr1237,-,h,i,t,u
raro1241,-,-,i,t,u
mang1401,-,7,i,t,u
maor1246,-,f,i,t,u
puka1242,-,w,i,t,u
rapa1244,-,h,i,t,u
nort2845,-,f,i,t,u
hawa1245,-,h,i,k,u
tahi1242,-,h,i,t,u
emae1237,-,f,i,t,u
futu1245,-,f,i,t,u
wall1257,-,f,i,t,u
east2447,-,f,i,t,u
tiko1237,-,f,i,t,u
niue1239,-,f,i,t,u
anut1237,-,p,i,t,u
samo1305,-,f,i,t,u
tuva1244,-,f,i,t,u
tong1325,-,f,i,t,u
renn1242,-,h,i,t,u
onto1237,-,h,i,k,u
sika1261,-,h,i,t,u
nuku1259,-,h,i,t,u
pile1238,-,h,i,t,u
kapi1249,-,h,i,d,u
mele1250,e,b,i,t,u
