language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
tuam1242,-,-,-,-,m,a,t,a,-,-,-,-
penr1237,-,-,-,-,m,a,t,a,-,-,-,-
raro1241,-,-,-,-,-,-,k,a,n,o,7,i
raro1241,-,-,-,-,m,a,t,a,-,-,-,-
mang1401,-,-,-,-,m,a,t,a,-,-,-,-
maor1246,-,-,-,-,m,a,t,a,-,-,-,-
raka1237,-,-,-,-,m,a,t,a,-,-,-,-
raka1237,-,-,-,-,-,-,k,a,n,o,h,i
puka1242,-,-,-,-,m,a,t,a,-,-,-,-
rapa1244,-,-,-,-,m,a,t,a,-,-,-,-
nort2845,-,-,-,-,k,o,r,o,-,-,h,i
nort2845,-,-,-,-,m,a,t,a,-,-,-,-
hawa1245,-,-,-,-,m,a,k,a,-,-,-,-
tahi1242,-,-,-,-,m,a,t,a,-,-,-,-
emae1237,-,-,-,-,m,a,t,a,-,-,-,-
futu1245,-,-,-,-,m,a,t,a,-,-,-,-
wall1257,-,-,-,-,m,a,t,a,-,-,-,-
east2447,-,-,-,-,m,a,t,a,-,-,-,-
tiko1237,-,-,-,-,m,a,t,a,-,-,-,-
niue1239,-,-,-,-,m,a,t,a,-,-,-,-
anut1237,-,-,-,-,m,a,t,a,-,-,-,-
samo1305,-,-,-,-,m,a,t,a,-,-,-,-
tuva1244,-,-,-,-,m,a,t,a,-,-,-,-
tong1325,-,-,-,-,m,a,t,a,-,-,-,-
renn1242,-,-,-,-,m,a,t,a,-,-,-,-
onto1237,-,-,-,-,m,a,k,a,-,-,-,-
sika1261,-,-,-,-,k,a,l,e,-,-,-,-
nuku1259,k,a,n,a,m,a,t,a,-,-,-,-
pile1238,-,-,-,-,m,a,t,a,-,-,-,-
kapi1249,-,-,-,-,m,a,t,a,-,-,-,-
mele1250,-,-,-,-,m,a,t,a,-,-,-,-
