language,x1,x2,x3,x4,x5
jion1236,-,t,S,e,-
shee1238,-,7,-,o,-
pahn1237,-,7,-,i,-
pahn1237,-,7,-,e,-
youn1235,-,N,-,o,-
east2371,t,h,-,a,-
west2430,t,h,-,u,-
east2370,-,7,-,i,-
nort2747,-,7,-,E,-
sout2754,-,7,-,o,-
nort2749,-,7,-,u,-
cent1394,-,7,-,a,N
luop1235,-,7,-,o,-
luop1235,-,7,-,a,-
larg1235,-,7,-,a,-
kimm1245,-,7,-,a,i
iumi1238,-,t,-,3,u
biao1254,-,7,-,u,i
dzao1238,-,7,-,a,i
east2363,-,k,-,u,-
east2363,-,k,-,u,-
liuq1235,-,k,-,u,7
liuq1235,-,k,-,u,-
liuq1235,-,k,-,o,7
cent2009,-,k,-,u,-
cent2009,-,k,-,u,-
cent2009,-,k,-,u,-
sich1238,-,m,-,3,-
