language,x1,x2,x3,x4,x5,x6,x7,x8
jion1236,t,S,-,-,-,u,-,-
shee1238,k,-,-,-,-,u,-,-
pahn1237,t,S,-,-,-,a,-,-
pahn1237,t,y,-,-,-,a,-,-
youn1235,t,y,e,-,-,u,-,-
east2371,t,-,3,-,-,u,-,-
west2430,t,-,-,-,-,o,-,-
east2370,t,y,e,-,-,u,-,-
nort2747,t,y,-,-,-,3,-,-
sout2754,t,y,e,-,-,u,-,-
nort2749,t,S,-,-,-,3,-,-
cent1394,-,S,-,-,-,o,-,-
luop1235,t,-,-,-,-,u,-,-
luop1235,t,-,-,-,-,u,-,-
larg1235,t,L,-,-,-,o,-,-
kimm1245,k,y,-,-,-,a,-,t
iumi1238,k,-,-,-,-,a,-,t
biao1254,k,l,-,-,-,a,-,t
dzao1238,t,-,-,-,-,u,-,t
east2363,y,-,i,y,o,u,-,-
east2363,l,-,i,-,-,u,-,-
liuq1235,Z,-,u,-,-,u,-,7
liuq1235,x,-,i,-,-,u,-,-
liuq1235,y,-,-,-,-,u,i,7
cent2009,r,-,i,-,-,u,-,-
cent2009,8,-,i,y,a,u,-,-
cent2009,y,-,i,-,-,u,-,-
sich1238,x,-,u,-,-,u,-,-
