language,x1,x2,x3,x4,x5,x6
jion1236,t,-,h,-,u,i
pahn1237,-,-,s,-,o,N
pahn1237,t,-,h,-,e,-
youn1235,t,-,h,-,o,N
east2371,-,-,S,-,o,-
west2430,t,-,S,h,o,N
east2370,l,-,y,-,o,-
nort2747,x,-,h,-,o,N
sout2754,t,-,S,-,o,-
nort2749,t,S,h,-,u,-
cent1394,-,-,p,3,u,-
luop1235,-,-,S,-,i,n
luop1235,-,-,n,-,a,N
larg1235,t,-,h,-,e,i
iumi1238,-,-,f,-,o,N
biao1254,-,-,s,-,o,N
dzao1238,-,-,h,-,u,N
east2363,-,-,k,-,a,i
east2363,-,-,7,-,o,N
liuq1235,-,-,7,-,o,N
liuq1235,-,-,k,-,3,i
cent2009,-,-,N,-,3,i
cent2009,-,-,S,-,-,e
cent2009,-,-,N,-,a,i
cent2009,-,-,N,-,3,i
sich1238,-,-,d,-,u,-
