language,x1,x2,x3,x4,x5,x6,x7,x8
jion1236,-,-,k,w,a,-,-,-
shee1238,-,-,k,w,a,-,-,-
pahn1237,-,-,k,-,o,-,-,-
pahn1237,-,-,k,-,o,-,-,-
youn1235,-,-,k,w,i,-,-,-
east2371,-,-,q,3,u,-,-,-
west2430,-,-,q,-,u,-,-,-
east2370,-,-,f,-,u,w,e,-
nort2747,-,-,t,-,o,-,-,-
sout2754,-,-,k,w,a,-,i,-
nort2749,-,-,k,-,E,-,-,-
cent1394,-,-,h,u,E,-,-,-
luop1235,t,3,q,w,e,-,i,-
luop1235,t,3,q,w,e,-,i,-
larg1235,-,-,t,L,-,-,i,-
kimm1245,-,-,k,-,o,-,-,-
iumi1238,-,-,k,-,u,-,-,-
biao1254,-,-,k,-,u,-,-,-
dzao1238,-,-,k,-,o,-,-,-
east2363,-,-,k,y,a,-,i,-
east2363,-,-,k,l,3,-,i,-
liuq1235,-,-,T,-,e,-,i,7
liuq1235,-,-,S,-,a,-,i,-
liuq1235,-,-,k,y,E,-,i,7
cent2009,-,-,k,y,3,-,i,-
cent2009,-,-,k,-,e,-,i,-
cent2009,-,-,T,y,e,-,i,-
