language,x1,x2,x3,x4
guan1279,-,S,-,i
xian1255,-,s,e,i
nann1239,-,L,-,i
yuet1238,-,s,-,i
hain1237,-,t,-,i
tuol1234,-,S,-,i
pand1262,-,h,-,i
sand1270,-,h,-,i
sand1270,-,h,-,i
east2363,-,s,3,i
east2363,-,s,3,i
liuq1235,-,8,3,i
liuq1235,-,s,3,i
liuq1235,-,8,-,i
cent2009,-,8,e,i
cent2009,-,8,-,i
cent2009,-,8,e,i
dong1287,p,l,-,a
nunu1247,t,S,-,a
numa1251,k,y,-,o
east2370,-,s,-,o
nort2747,-,L,-,o
sout2754,t,L,-,o
chua1248,p,l,-,o
larg1235,t,L,a,u
nort2749,p,l,-,o
cent1394,p,l,-,o
luop1235,p,l,3,u
luop1235,p,l,3,u
jion1236,p,l,-,e
shee1238,p,y,-,i
pahn1237,t,y,-,i
pahn1237,t,s,-,i
youn1235,p,y,-,a
east2371,f,-,e,i
west2430,p,Z,e,i
kimm1245,p,y,e,i
iumi1238,p,-,e,i
biao1254,p,l,3,i
dzao1238,p,-,e,-
sich1238,-,l,-,i
