language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
guan1279,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
guan1279,S,a,u,t,S,-,i,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
xian1255,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
xian1255,-,-,-,t,s,-,i,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
nann1239,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
nann1239,-,-,-,t,s,-,i,-,-,k,-,-,-,-,E,-,-,-,-,-,-,p,-,-,-,-,-,-,-
yuet1238,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
yang1307,-,-,-,-,S,a,u,-,-,k,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-,-,-,-,-
chan1326,-,-,-,t,S,-,i,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chen1267,-,-,-,t,S,-,i,-,-,y,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hain1237,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hain1237,-,-,-,-,s,-,i,y,u,k,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tuol1234,-,-,-,-,S,-,i,y,u,q,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pand1262,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,p,-,m,i,y,a,-,-
sand1270,-,-,-,-,-,-,-,-,-,l,-,-,-,-,y,a,-,-,-,-,-,p,-,t,-,-,o,-,N
sand1270,-,-,-,n,-,-,-,-,-,d,-,-,-,-,y,a,-,-,-,-,-,p,-,m,-,y,a,-,-
east2363,-,-,-,-,-,-,-,-,-,y,-,-,-,-,i,-,-,-,-,-,-,p,-,f,-,-,3,-,N
east2363,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,t,-,f,-,-,a,-,N
liuq1235,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,3,-,-,-,-,-,-,p,-,f,-,-,o,-,N
liuq1235,-,-,-,-,-,-,-,-,-,x,-,-,-,-,i,-,-,-,-,-,-,p,-,-,-,-,-,-,-
liuq1235,-,-,-,-,-,-,-,-,-,y,-,-,-,-,i,t,-,-,-,-,-,f,-,-,-,-,o,-,N
cent2009,-,-,-,-,-,-,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,p,-,f,-,-,o,-,N
cent2009,-,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,p,-,f,-,-,u,-,N
cent2009,-,-,-,-,-,-,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,p,-,f,-,-,u,-,N
dong1287,-,-,-,-,-,-,-,-,-,k,-,-,w,-,a,-,-,-,-,-,-,p,-,-,-,-,e,-,-
nunu1247,-,-,-,-,-,-,-,-,-,N,-,-,w,-,a,-,-,-,-,-,-,p,-,h,-,-,e,-,-
numa1251,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,p,-,-,-,-,a,-,-
east2370,-,-,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,N,-,p,-,-,-,-,E,-,-
nort2747,-,-,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,n,-,p,-,-,-,-,i,-,-
sout2754,-,-,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,N,-,p,-,a,-,-,i,-,-
chua1248,-,-,-,-,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-,-,e,-,-
larg1235,-,-,-,-,-,-,-,-,-,k,i,-,t,-,a,-,-,u,-,d,-,-,-,-,-,-,i,-,-
