language,x1,x2,x3,x4
jion1236,-,y,u,-
shee1238,t,y,i,N
pahn1237,t,-,e,N
pahn1237,t,-,e,N
youn1235,t,y,e,u
east2371,d,-,a,N
west2430,t,-,o,N
east2370,t,-,a,N
nort2747,t,-,a,N
sout2754,t,-,a,N
nort2749,t,-,o,-
cent1394,t,-,o,N
luop1235,8,-,o,N
luop1235,z,-,u,N
larg1235,d,-,o,-
kimm1245,t,S,u,-
iumi1238,t,s,o,-
biao1254,t,y,u,-
dzao1238,d,-,a,N
east2363,S,-,a,-
east2363,t,-,a,N
liuq1235,t,-,3,N
liuq1235,t,-,o,N
liuq1235,t,-,o,N
cent2009,t,-,e,-
cent2009,k,y,a,-
cent2009,S,-,a,-
cent2009,t,-,E,-
sich1238,l,-,a,-
