language,x1,x2,x3,x4,x5,x6,x7,x8
jion1236,-,-,p,y,-,3,-,N
shee1238,t,-,h,y,-,e,-,-
pahn1237,-,-,p,-,-,e,-,N
pahn1237,-,-,p,-,-,e,-,N
youn1235,-,-,p,-,-,a,-,n
east2371,-,-,p,a,-,i,-,-
west2430,n,-,p,i,t,E,-,-
nort2747,-,-,t,s,-,e,-,n
sout2754,-,-,p,-,-,a,-,-
cent1394,-,-,t,-,-,E,-,n
luop1235,-,-,v,y,-,o,-,N
luop1235,t,3,v,z,-,a,-,N
larg1235,d,i,y,-,-,e,-,-
iumi1238,-,-,p,-,-,E,-,N
biao1254,-,-,p,-,-,E,-,-
dzao1238,-,-,p,-,-,e,-,N
east2363,-,-,p,-,-,e,E,n
east2363,-,-,p,-,-,e,-,n
liuq1235,-,-,p,-,-,e,-,n
liuq1235,-,-,p,-,-,e,-,n
liuq1235,-,-,p,-,-,E,-,n
cent2009,-,-,p,-,-,e,-,n
cent2009,-,-,p,-,-,E,-,n
cent2009,-,-,p,-,-,E,-,n
sich1238,-,-,b,-,-,E,-,-
