language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
guan1279,-,f,-,-,a,-,-,-,-,-,-,i,-,-,-,-
guan1279,-,f,-,-,a,i,t,-,S,-,-,i,-,-,-,-
xian1255,-,f,-,-,a,i,t,-,s,-,-,i,-,-,-,-
nann1239,-,f,-,-,a,i,-,-,s,-,a,u,-,-,-,-
yuet1238,-,-,-,-,-,-,t,s,h,-,-,u,-,-,-,-
yuet1238,-,-,-,-,-,-,k,-,h,-,-,u,w,a,i,E
yang1307,k,h,-,w,a,i,t,-,S,-,e,i,-,-,-,-
chan1326,-,-,-,-,-,-,k,-,h,-,-,u,w,a,i,-
chen1267,-,-,-,-,-,-,k,-,h,-,-,u,w,a,i,-
kunm1234,-,-,-,-,-,-,k,-,h,-,-,u,w,3,3,-
kunm1234,-,-,-,-,-,-,k,-,h,-,-,u,w,-,E,-
hain1237,-,m,u,w,e,-,d,-,-,-,-,u,-,-,-,-
tuol1234,-,-,-,-,-,-,-,-,Z,-,-,v,-,-,-,-
sand1270,-,-,-,-,-,-,t,-,s,-,-,u,-,-,-,-
sand1270,-,-,-,-,-,-,t,-,s,-,-,u,-,-,-,-
dong1287,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-
nunu1247,-,-,-,-,-,-,t,S,h,-,-,u,-,-,-,-
numa1251,-,-,-,-,-,-,t,-,y,-,-,a,-,-,-,-
east2370,-,-,-,-,-,-,t,-,y,-,-,o,-,-,-,-
nort2747,-,-,-,-,-,-,t,-,y,-,-,u,-,-,-,-
sout2754,-,-,-,-,-,-,t,-,y,-,-,a,-,-,-,-
chua1248,-,-,-,-,-,-,t,-,e,-,-,u,-,-,-,-
larg1235,-,-,-,-,-,-,s,-,-,-,-,u,-,-,-,-
nort2749,-,-,-,-,-,-,t,-,S,-,-,3,-,-,-,-
cent1394,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-
luop1235,-,-,-,-,-,-,7,3,Z,-,-,o,-,-,-,-
luop1235,-,-,-,-,-,-,7,a,Z,-,-,o,-,-,-,-
jion1236,-,-,-,-,-,-,-,-,S,-,a,u,-,-,-,-
shee1238,-,-,-,-,-,-,k,-,h,-,-,u,-,-,-,-
pahn1237,-,-,-,-,-,-,t,-,S,-,-,o,-,-,-,-
pahn1237,-,-,-,-,-,-,t,-,y,-,a,u,-,-,-,-
youn1235,-,-,-,-,-,-,t,-,s,h,e,u,-,-,-,-
east2371,-,N,-,-,a,-,d,-,-,-,e,i,-,-,-,-
west2430,-,q,-,-,o,-,t,-,-,-,-,u,-,-,-,-
kimm1245,-,-,-,-,-,-,t,-,S,-,-,o,-,-,-,-
iumi1238,-,-,-,-,-,-,t,-,s,-,3,u,-,-,-,-
biao1254,-,-,-,-,-,-,t,-,y,-,3,u,-,-,-,-
dzao1238,-,-,-,-,-,-,t,-,-,-,a,u,-,-,-,-
