language,x1,x2,x3,x4,x5,x6
jion1236,-,-,y,-,u,-
shee1238,-,-,s,-,o,N
pahn1237,-,-,y,-,u,-
pahn1237,-,-,Z,-,u,-
youn1235,-,-,L,-,e,-
west2430,-,-,S,-,u,-
east2370,n,-,y,e,i,-
nort2747,-,-,Z,-,u,-
sout2754,-,-,Z,-,u,-
nort2749,-,-,Z,-,u,-
cent1394,-,-,Z,-,u,-
luop1235,t,3,Z,-,o,-
larg1235,-,-,S,a,u,-
kimm1245,-,-,z,a,u,-
iumi1238,-,-,f,a,i,-
biao1254,-,-,S,E,u,-
dzao1238,-,-,h,e,i,-
east2363,-,-,s,a,i,-
liuq1235,-,-,8,a,i,-
liuq1235,-,-,8,3,i,-
cent2009,-,-,7,-,i,-
cent2009,-,-,8,3,i,-
cent2009,-,-,7,e,i,-
