language,x1,x2,x3,x4
guan1279,t,h,a,-
yuet1238,t,h,a,-
chan1326,t,h,a,-
chen1267,t,h,a,-
tuol1234,-,b,o,-
pand1262,m,-,a,n
sand1270,m,-,a,n
sand1270,m,-,a,n
east2363,t,-,e,-
east2363,t,-,e,-
liuq1235,t,-,i,7
liuq1235,t,-,e,-
liuq1235,t,-,E,7
cent2009,t,-,e,-
cent2009,t,-,E,-
cent2009,t,-,E,-
dong1287,n,-,a,-
nunu1247,n,-,e,-
numa1251,n,-,e,i
east2370,n,-,e,i
nort2747,n,-,e,n
sout2754,n,-,i,-
nort2749,n,-,i,-
cent1394,n,-,i,-
luop1235,n,-,i,n
jion1236,n,-,3,N
shee1238,n,-,u,N
pahn1237,n,-,u,-
pahn1237,n,-,u,N
youn1235,n,-,e,N
east2371,b,-,u,-
west2430,w,-,u,-
kimm1245,n,-,a,n
iumi1238,n,-,i,n
biao1254,n,-,i,n
dzao1238,v,e,i,-
sich1238,7,-,E,-
