language,x1,x2,x3,x4,x5,x6,x7,x8
jion1236,-,-,t,-,S,i,-,-
shee1238,-,-,k,-,h,i,-,-
pahn1237,-,-,t,-,S,i,-,-
pahn1237,-,-,t,-,S,i,-,-
youn1235,-,-,k,-,-,i,-,-
east2371,-,-,d,-,Z,i,-,-
west2430,-,-,-,-,T,i,-,-
east2370,-,-,t,-,S,i,n,-
nort2747,-,-,t,-,S,i,n,-
sout2754,7,u,t,-,S,i,-,-
nort2749,-,-,k,-,-,i,-,-
cent1394,-,-,t,-,S,i,-,-
luop1235,-,-,7,3,Z,i,-,-
luop1235,-,-,7,a,Z,i,-,-
larg1235,k,a,t,-,S,i,d,u
kimm1245,-,-,t,-,S,a,-,-
iumi1238,-,-,t,-,s,a,-,-
biao1254,-,-,t,-,y,a,-,-
dzao1238,-,-,t,-,-,a,-,-
sich1238,-,-,t,-,s,o,-,-
