language,x1,x2,x3,x4,x5
jion1236,-,-,k,-,u
shee1238,-,-,k,-,u
pahn1237,-,-,q,-,o
pahn1237,-,-,q,-,o
youn1235,-,-,k,-,o
east2371,-,-,q,3,u
west2430,-,-,q,-,o
east2370,-,-,l,-,o
nort2747,-,-,l,-,u
sout2754,-,-,l,-,o
nort2749,-,-,l,-,o
cent1394,-,-,l,-,o
luop1235,t,3,l,-,o
luop1235,t,3,l,-,o
larg1235,-,-,l,a,u
kimm1245,-,-,k,-,u
iumi1238,-,-,k,-,u
biao1254,-,-,k,-,u
dzao1238,-,-,k,-,u
east2363,-,-,l,a,u
east2363,-,-,l,a,u
liuq1235,-,-,l,a,u
liuq1235,-,-,l,a,u
liuq1235,-,-,l,a,u
cent2009,-,-,k,-,e
cent2009,-,-,k,-,E
cent2009,-,-,k,-,E
sich1238,-,-,m,-,a
