language,x1,x2,x3,x4,x5,x6,x7
jion1236,n,-,e,-,-,i,-
shee1238,7,-,a,m,-,i,-
pahn1237,7,-,a,m,-,e,-
pahn1237,-,-,-,m,a,i,-
youn1235,N,y,a,-,-,-,-
east2371,n,-,a,-,-,i,-
west2430,7,-,o,m,-,o,-
east2370,-,-,-,v,-,e,i
nort2747,-,-,-,m,-,a,N
sout2754,-,-,-,m,-,i,-
nort2749,-,-,-,m,-,E,-
cent1394,-,-,-,m,-,i,-
luop1235,7,-,3,m,-,e,n
luop1235,7,-,a,m,-,e,-
kimm1245,d,-,-,Z,-,i,-
dzao1238,-,-,-,n,-,i,-
east2363,-,-,-,m,-,i,-
east2363,t,-,a,m,-,i,-
liuq1235,-,-,-,m,-,i,-
liuq1235,-,-,-,m,-,i,-
liuq1235,-,-,-,m,-,E,7
cent2009,-,-,-,m,-,e,-
cent2009,-,-,-,m,-,a,-
cent2009,p,-,a,m,-,a,-
sich1238,7,-,a,m,-,o,-
