language,x1,x2,x3,x4,x5
guan1279,-,p,-,a,t
guan1279,-,m,-,-,-
yuet1238,-,p,-,u,t
yuet1238,-,m,-,-,-
yang1307,-,m,o,u,-
chan1326,-,x,o,u,-
chan1326,-,p,-,u,-
chen1267,-,p,-,u,-
kunm1234,-,p,-,u,-
guil1241,-,p,-,u,-
pand1262,-,m,-,e,-
sand1270,-,m,-,e,-
sand1270,-,m,-,e,-
liuq1235,-,7,-,i,7
liuq1235,-,7,-,i,-
liuq1235,-,7,-,i,-
dong1287,-,m,-,a,-
nunu1247,-,m,-,a,-
numa1251,-,m,-,u,N
east2370,-,m,-,i,-
nort2747,-,7,-,a,-
sout2754,-,m,-,o,-
chua1248,t,S,-,i,-
larg1235,-,h,-,i,-
nort2749,-,m,-,a,-
cent1394,-,m,-,o,N
luop1235,-,m,-,u,-
luop1235,-,m,-,a,-
jion1236,n,n,-,-,-
shee1238,-,7,-,a,-
pahn1237,-,7,-,a,-
pahn1237,-,7,-,a,-
youn1235,-,m,-,3,-
east2371,m,m,-,-,-
west2430,t,S,-,e,-
kimm1245,-,m,-,a,-
iumi1238,m,m,-,-,-
biao1254,m,m,-,-,-
dzao1238,m,m,-,-,-
