language,x1,x2,x3,x4,x5,x6
jion1236,-,-,w,a,-,-
shee1238,-,-,v,a,N,-
pahn1237,-,-,w,a,N,-
pahn1237,-,-,w,a,N,-
youn1235,-,-,v,o,-,-
east2371,-,-,w,e,i,-
west2430,-,-,w,e,-,-
east2370,-,-,Z,i,-,-
nort2747,-,-,v,i,-,-
sout2754,-,-,v,o,-,-
nort2749,-,-,-,-,N,-
cent1394,-,-,k,o,N,-
luop1235,-,-,k,o,N,-
luop1235,-,-,k,a,N,-
larg1235,-,-,k,u,-,-
kimm1245,-,-,z,a,-,-
iumi1238,-,-,Z,e,-,-
biao1254,-,-,k,3,u,-
dzao1238,t,s,y,a,-,-
east2363,-,-,k,o,u,-
east2363,-,-,k,o,u,-
liuq1235,-,-,k,o,u,7
liuq1235,-,-,k,o,u,-
liuq1235,-,-,k,-,u,7
cent2009,-,-,k,o,u,-
cent2009,-,-,k,-,u,-
cent2009,-,-,k,o,u,-
sich1238,-,-,N,o,-,-
