language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
silt1240,-,7,-,3,-,-,-,z,-,3,k,-
wola1253,-,7,-,3,m,b,o,s,-,3,-,-
zayy1238,-,7,-,3,-,-,-,z,-,3,k,-
hara1271,t,t,-,3,-,d,-,Z,-,a,-,-
amha1245,t,t,-,3,-,d,-,Z,-,a,-,-
argo1244,t,t,-,3,-,d,-,Z,-,a,-,-
mesq1240,-,m,w,a,-,-,-,s,-,a,-,-
muhe1234,-,-,-,-,-,-,-,d,-,3,g,-
chah1248,-,m,w,3,-,-,-,s,-,a,-,-
gura1260,-,m,w,3,-,-,-,s,-,a,-,-
gume1239,-,m,w,3,-,-,-,s,-,a,-,-
ezha1238,-,m,w,3,-,-,-,s,-,a,-,-
gyet1241,-,m,w,3,-,-,-,s,-,a,-,-
inor1240,-,m,w,3,-,-,-,s,-,a,-,-
kist1241,-,-,-,-,-,-,-,t,t,3,g,-
eneg1238,-,m,-,o,-,-,-,s,-,a,-,-
geez1241,-,7,-,3,-,-,-,g,w,3,l,t
tigr1271,-,m,-,3,-,-,-,r,-,a,x,-
tigr1270,-,7,-,3,-,-,-,g,-,a,l,-
