language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
silt1240,s,a,7,a,b,-,a,-,-,-,t,-
wola1253,s,-,-,a,b,-,-,-,-,-,t,-
zayy1238,s,-,-,3,b,-,3,-,-,-,t,-
hara1271,s,-,-,-,-,-,a,-,-,-,t,i
amha1245,s,-,-,3,b,-,a,-,-,-,t,-
argo1244,s,-,-,-,-,-,a,7,i,n,t,-
mesq1240,s,-,-,e,b,-,3,-,-,-,t,-
muhe1234,s,-,-,3,b,-,a,-,-,-,t,-
chah1248,s,-,-,3,b,-,a,-,-,-,t,-
gura1260,s,-,-,3,b,-,a,-,-,-,t,-
gume1239,s,-,-,3,b,-,a,-,-,-,t,-
ezha1238,s,-,-,3,b,-,a,-,-,-,t,-
gyet1241,s,-,-,3,b,-,a,-,-,-,t,-
inor1240,s,-,-,-,-,-,a,-,-,-,t,-
kist1241,s,-,-,3,b,-,a,-,-,-,t,-
eneg1238,s,-,-,3,w,7,a,-,-,-,t,-
geez1241,s,-,-,3,b,-,-,-,-,-,X,-
tigr1270,s,-,-,3,b,-,u,-,-,-,7,3
