language,x1,x2,x3,x4,x5,x6,x7
silt1240,h,a,m,-,3,l,-
wola1253,7,a,m,-,-,l,-
zayy1238,7,a,m,-,3,l,-
kist1241,7,a,m,b,3,l,-
mesq1240,7,a,m,b,3,r,-
amha1245,g,o,m,-,3,n,-
argo1244,g,o,m,-,3,n,-
hara1271,X,u,-,-,-,l,-
tigr1270,X,a,m,-,-,l,e
tigr1271,X,a,m,-,-,l,i
