language,x1,x2,x3,x4,x5,x6
silt1240,w,3,z,3,n,3
wola1253,w,3,z,a,n,-
zayy1238,w,3,z,3,n,3
kist1241,-,-,l,3,b,-
mesq1240,-,-,h,i,n,-
amha1245,-,-,l,3,b,-
argo1244,-,-,l,3,b,i
tigr1270,-,-,l,3,b,-
tigr1271,-,-,l,3,b,i
