language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
temb1276,-,k,-,-,-,-,-,a,k,-,-,w,-,-,-,a,7,a,w
tupi1273,a,k,-,-,-,-,-,a,k,u,g,w,-,-,-,a,-,-,b
guaj1255,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,a,7,-,u
xing1248,d,Z,e,m,-,-,-,a,t,-,-,-,-,-,-,3,-,-,-
urub1250,-,g,a,m,o,i,z,a,r,-,-,d,-,-,-,a,-,-,-
east2555,-,k,-,-,-,-,w,a,k,-,-,w,-,-,-,a,-,-,-
para1311,-,k,-,-,-,-,-,a,k,-,-,w,-,a,-,a,-,-,-
mbya1239,-,k,-,-,-,-,-,a,k,-,-,w,-,-,-,a,-,-,-
guar1292,-,k,-,-,-,-,w,a,k,-,-,w,-,-,-,a,-,-,-
nhen1239,-,-,-,-,-,-,-,-,y,-,-,u,m,u,5,a,-,-,-
kaya1329,-,-,-,-,-,-,-,a,n,-,-,-,-,-,-,a,r,u,p
paus1244,-,k,-,-,-,-,-,a,k,-,-,w,-,-,-,a,-,-,-
emer1243,-,k,-,-,-,-,-,a,k,u,-,w,-,-,-,a,-,-,-
para1312,-,C,e,m,-,-,-,o,t,o,-,w,-,-,-,i,-,-,-
araw1273,-,m,-,-,-,-,-,o,-,-,-,h,-,-,-,3,-,-,-
coca1259,-,-,-,-,-,-,-,a,i,-,-,p,-,-,-,a,-,-,-
omag1248,-,-,-,-,-,-,-,-,t,-,-,u,-,-,-,a,-,-,-
yuqu1240,-,-,-,-,-,-,-,u,-,-,-,b,-,-,-,u,-,-,-
siri1273,-,s,-,-,-,-,-,i,-,-,-,r,-,-,-,i,-,-,-
sate1243,-,t,-,-,-,-,-,a,N,-,-,-,-,-,-,-,-,-,-
