language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
temb1276,-,z,e,m,-,-,u,z,a,-,r,-,-,-,a,-,-,-
tupi1273,-,y,e,m,-,-,o,s,a,-,r,-,-,-,a,-,y,-
guaj1255,-,z,e,m,-,-,-,-,a,-,r,-,-,-,a,-,z,-
xing1248,d,Z,e,m,-,-,a,-,a,-,r,-,-,-,a,-,y,-
urub1250,-,y,u,m,-,-,-,-,a,-,r,-,-,-,a,-,y,-
waya1270,-,y,i,m,-,-,-,-,a,-,r,-,-,-,a,-,y,-
east2555,-,-,-,p,-,-,o,-,-,-,-,-,-,-,-,-,-,-
para1311,-,-,-,p,o,p,o,-,-,-,-,-,-,-,-,-,-,-
mbya1239,-,5,e,m,o,b,o,-,a,-,r,-,-,-,a,-,y,-
guar1292,-,y,a,p,-,-,-,-,a,-,y,-,-,-,a,-,p,o
nhen1239,-,y,u,m,-,-,u,s,a,-,r,-,-,-,a,-,y,-
kaya1329,-,-,-,p,-,-,u,y,a,-,r,-,-,-,u,-,-,-
amun1246,-,-,-,N,-,-,w,-,a,-,r,-,-,-,a,-,y,-
urue1240,-,-,-,N,-,-,w,-,a,-,r,-,-,-,a,-,y,-
tenh1241,-,-,-,g,-,-,w,-,a,7,r,-,-,-,a,-,y,-
paus1244,-,8,-,-,-,-,-,-,a,-,r,-,-,-,u,-,-,-
emer1243,-,y,i,m,-,-,-,-,a,-,r,-,-,-,a,-,y,-
toca1235,-,s,e,m,-,-,o,-,a,-,r,-,-,-,a,-,y,-
para1312,-,C,e,m,-,-,o,-,a,-,r,-,-,-,a,i,y,-
tapi1254,-,C,e,m,-,-,a,-,a,-,r,-,-,-,3,-,y,-
suru1262,-,s,e,m,-,-,o,-,a,-,r,-,-,-,a,-,i,-
anam1249,-,y,e,m,-,-,-,-,a,-,r,-,-,-,a,-,y,-
coca1259,-,y,u,m,-,-,u,c,a,-,r,i,k,-,a,-,-,-
omag1248,-,y,u,m,-,-,i,s,a,-,r,i,k,i,a,-,-,-
xeta1241,-,n,3,m,-,-,b,-,a,-,r,-,-,-,a,-,y,-
yuqu1240,-,y,i,b,-,-,i,t,i,-,t,-,-,-,i,-,-,-
siri1273,-,5,3,m,-,b,u,s,a,-,r,-,-,-,3,-,-,-
sate1243,-,-,-,m,-,-,a,h,a,-,r,-,-,-,a,-,-,-
