language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
temb1276,-,-,-,-,a,-,-,-,z,u,-,-
tupi1273,-,-,-,-,a,-,-,-,y,u,b,-
guaj1255,-,-,-,-,a,-,-,-,z,u,-,-
xing1248,-,-,-,-,a,-,-,-,y,u,-,-
urub1250,-,3,-,-,a,-,-,-,r,o,-,-
waya1270,-,-,-,-,-,-,-,-,-,u,m,3
avac1239,-,k,-,-,3,-,-,-,r,-,-,-
east2555,-,-,-,-,a,g,w,3,y,e,-,-
para1311,-,-,-,-,a,-,-,-,y,u,-,-
mbya1239,d,Z,-,-,a,d,-,-,Z,u,-,-
nhen1239,t,i,-,-,a,n,-,-,r,u,-,-
kaya1329,-,-,-,-,-,-,-,-,y,3,p,-
amun1246,-,y,-,-,a,-,-,-,y,u,b,-
urue1240,-,y,-,-,a,-,-,-,y,u,b,-
tenh1241,-,-,-,-,a,-,-,-,y,u,b,-
paus1244,-,7,-,-,a,-,-,-,8,u,-,-
emer1243,-,t,-,-,a,-,-,-,w,a,-,-
para1312,-,m,o,-,a,-,-,-,p,3,p,-
coca1259,-,p,3,t,a,-,-,-,n,i,n,-
ache1246,b,i,-,-,a,-,-,-,y,u,-,-
siri1273,-,e,-,-,a,-,-,-,-,w,-,-
sate1243,-,o,k,t,a,-,-,-,-,N,-,-
