language,x1,x2,x3,x4,x5
temb1276,-,-,u,r,-
tupi1273,-,-,u,r,-
guaj1255,-,-,u,r,-
xing1248,-,-,u,t,-
kama1373,-,-,u,t,-
urub1250,-,-,u,r,-
waya1270,-,-,u,-,-
avac1239,-,-,u,r,-
east2555,-,y,u,-,-
para1311,-,y,u,-,-
mbya1239,d,Z,u,-,-
guar1292,-,y,u,-,-
nhen1239,-,-,u,r,i
kaya1329,-,-,o,t,-
amun1246,-,-,o,r,-
urue1240,-,-,o,r,-
tenh1241,-,-,o,r,-
paus1244,-,-,u,-,-
emer1243,d,Z,o,t,-
toca1235,-,-,o,n,-
para1312,-,-,o,r,-
tapi1254,-,C,a,r,-
suru1262,-,-,u,r,-
anam1249,-,y,o,-,-
guaj1256,-,-,u,-,-
araw1273,-,-,u,-,-
coca1259,-,-,u,r,i
omag1248,-,-,u,r,i
ache1246,-,-,u,-,-
yuqu1240,-,-,u,-,-
siri1273,-,-,u,-,-
sate1243,-,-,o,t,-
awet1244,-,-,u,t,-
