language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
temb1276,-,-,-,-,u,r,3,w,-,-,-
tupi1273,-,-,-,-,o,r,3,b,-,-,-
guaj1255,-,-,-,-,u,r,3,w,e,t,e
xing1248,-,-,-,-,u,r,3,p,-,-,-
kama1373,-,-,-,-,o,r,3,p,-,-,-
urub1250,-,-,-,-,u,r,3,-,-,-,-
east2555,-,-,-,-,o,r,3,-,-,-,-
para1311,-,-,-,-,o,r,3,-,-,-,-
mbya1239,-,-,-,-,o,r,3,-,-,-,-
nhen1239,-,-,-,-,u,r,i,-,-,-,-
kaya1329,e,k,o,e,a,-,i,-,-,-,-
amun1246,-,-,-,-,o,r,3,b,-,-,-
urue1240,-,-,-,-,o,r,3,b,-,-,-
tenh1241,-,-,-,-,o,r,3,b,-,-,-
paus1244,-,-,-,-,o,r,i,-,-,-,-
emer1243,-,-,-,-,o,l,3,-,-,-,-
toca1235,-,-,-,-,o,r,3,-,-,-,-
para1312,-,-,-,-,o,r,i,b,-,-,-
tapi1254,-,-,a,r,3,r,3,p,-,-,-
anam1249,-,-,-,-,u,r,i,-,-,-,-
guaj1256,i,r,-,-,a,r,a,-,-,-,-
araw1273,-,-,-,-,u,r,i,-,-,-,-
coca1259,-,c,-,-,a,r,i,w,-,-,a
omag1248,-,s,-,-,a,r,3,w,-,-,a
xeta1241,-,-,-,-,a,r,3,-,-,-,-
yuqu1240,i,-,-,-,o,t,e,-,-,-,-
sate1243,-,-,-,-,-,w,e,p,i,t,-
