language,x1,x2,x3
tupi1273,-,s,u
guaj1255,-,h,o
xing1248,-,h,o
kama1373,-,-,o
urub1250,-,h,o
waya1270,-,-,o
avac1239,-,s,o
east2555,-,-,o
para1311,-,h,a
mbya1239,-,h,o
guar1292,-,s,o
nhen1239,-,c,u
kaya1329,-,h,a
urue1240,-,-,o
paus1244,-,-,o
emer1243,-,-,o
toca1235,-,h,a
para1312,-,h,a
tapi1254,-,h,a
suru1262,-,-,a
anam1249,-,-,o
apia1248,-,h,o
guaj1256,-,h,o
araw1273,-,-,o
coca1259,u,s,u
omag1248,-,s,o
ache1246,-,-,a
xeta1241,-,h,o
yuqu1240,-,c,o
siri1273,-,h,o
sate1243,-,t,o
awet1244,-,h,a
