language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
temb1276,-,u,-,w,-,-,a,y,-,-
xing1248,-,-,-,w,-,-,a,y,-,-
kama1373,-,-,-,w,-,-,a,y,-,-
waya1270,-,u,-,w,-,-,a,y,-,-
avac1239,-,u,-,w,-,-,a,y,-,-
kaya1329,-,-,-,w,-,-,a,y,-,-
east2555,h,u,g,w,-,-,a,i,-,-
para1311,t,u,g,w,-,-,a,y,-,-
mbya1239,-,u,g,w,-,-,a,y,-,-
guar1292,-,u,-,w,-,-,a,i,-,-
urub1250,-,u,-,w,-,-,a,y,-,-
nhen1239,-,u,-,-,-,-,a,y,-,a
amun1246,-,-,-,b,a,h,a,y,-,3
urue1240,-,g,-,w,a,h,a,y,-,3
tenh1241,-,g,-,w,-,-,a,y,-,-
emer1243,-,u,-,w,-,-,a,y,-,-
toca1235,-,-,-,w,-,-,a,s,-,-
para1312,-,-,-,b,-,-,a,C,-,a
tapi1254,-,o,-,w,-,-,a,y,-,-
suru1262,-,-,-,w,-,-,a,s,-,-
guaj1256,h,a,-,w,-,-,a,y,-,-
araw1273,h,u,-,b,-,-,a,i,-,-
coca1259,c,u,-,-,-,-,-,i,-,-
omag1248,s,u,-,-,-,-,-,y,-,-
yuqu1240,-,u,g,w,-,-,a,i,-,-
siri1273,-,o,k,w,-,-,e,3,-,-
sate1243,-,u,-,w,-,-,a,y,p,o
awet1244,-,u,-,w,-,-,a,y,-,-
