language,x1,x2,x3,x4,x5,x6
temb1276,-,k,-,a,t,u
tupi1273,-,k,-,a,t,u
guaj1255,-,k,-,a,t,u
xing1248,-,k,-,a,t,u
kama1373,-,k,-,a,t,u
urub1250,-,k,-,a,t,u
waya1270,-,k,-,a,t,u
avac1239,-,k,-,a,t,u
east2555,-,k,-,a,t,u
para1311,-,k,-,a,t,u
guar1292,-,k,-,a,t,u
nhen1239,-,k,-,a,t,u
kaya1329,-,k,-,a,t,u
amun1246,-,k,-,a,t,u
urue1240,-,k,-,a,t,u
tenh1241,-,k,-,a,t,u
paus1244,-,k,-,a,t,u
emer1243,-,k,-,a,t,u
toca1235,-,k,-,a,t,o
para1312,-,k,-,a,t,o
tapi1254,-,k,-,a,t,o
anam1249,-,k,-,a,t,u
guaj1256,-,k,-,a,t,u
araw1273,-,k,-,a,t,u
coca1259,e,r,-,a,-,-
omag1248,i,r,-,a,-,-
ache1246,-,k,-,a,t,u
yuqu1240,-,k,y,a,t,u
siri1273,-,k,y,a,t,u
sate1243,-,w,-,a,k,u
awet1244,-,k,-,a,t,u
