language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
kama1373,-,a,k,-,3,k,-,-,-,3
waya1270,-,a,k,-,3,k,-,-,-,3
avac1239,w,a,l,-,e,w,-,-,-,-
kaya1329,-,a,k,-,3,k,-,-,-,3
east2555,-,-,k,-,a,r,a,-,y,a
para1311,-,-,k,-,a,r,a,-,y,a
mbya1239,-,-,k,-,a,r,a,d,Z,a
guar1292,-,-,k,-,a,r,a,-,y,a
urub1250,-,-,w,-,a,r,i,-,-,-
nhen1239,-,-,w,-,a,r,i,-,w,a
tenh1241,-,a,k,-,3,k,-,-,-,3
emer1243,-,a,k,-,3,k,-,-,-,3
toca1235,-,a,k,-,3,k,-,-,-,3
para1312,-,a,k,-,3,k,-,-,-,3
guaj1256,-,-,w,-,a,r,-,-,-,i
araw1273,-,a,C,-,i,C,-,-,-,i
coca1259,w,a,r,-,i,w,-,-,-,a
ache1246,-,-,k,r,a,y,-,-,-,a
sate1243,-,a,w,-,3,k,-,-,-,3
