language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
temb1276,-,p,-,-,a,w,-,-,-,-
xing1248,-,p,-,-,a,p,-,-,-,-
kama1373,-,p,-,-,a,p,-,-,-,-
waya1270,-,p,-,-,a,-,-,-,-,-
avac1239,u,p,-,-,a,k,-,a,t,u
kaya1329,-,p,-,-,a,p,-,-,-,-
east2555,-,p,-,-,a,w,-,e,-,-
para1311,o,p,-,-,a,-,-,-,-,-
mbya1239,-,p,-,-,a,-,-,-,-,-
guar1292,-,p,-,-,a,v,-,a,-,-
urub1250,u,p,-,-,a,-,-,-,-,-
nhen1239,-,p,-,-,a,-,-,-,-,-
amun1246,-,p,-,-,a,b,-,-,-,-
urue1240,-,p,-,-,a,b,-,-,-,-
tenh1241,-,p,-,-,a,b,-,-,-,-
emer1243,-,p,-,-,a,-,-,-,-,-
toca1235,-,p,-,-,a,p,-,-,-,-
tapi1254,-,p,-,-,a,w,-,-,-,-
suru1262,-,p,-,-,a,m,-,-,-,-
guaj1256,-,p,-,-,a,-,-,-,-,-
araw1273,-,p,-,-,a,-,-,-,-,-
coca1259,u,p,-,-,i,-,-,-,-,-
omag1248,u,p,-,-,a,-,-,-,-,-
xeta1241,-,p,-,-,o,-,-,-,-,-
yuqu1240,-,X,-,-,a,-,-,-,-,-
siri1273,-,h,-,-,a,-,-,-,-,-
sate1243,-,t,o,r,a,n,i,a,-,-
awet1244,-,m,o,m,a,t,i,-,-,-
