language,x1,x2,x3,x4,x5,x6
temb1276,-,h,a,p,o,-
tupi1273,-,-,a,p,o,-
guaj1255,-,-,a,p,o,-
xing1248,-,-,a,p,a,-
kama1373,-,-,a,p,o,-
urub1250,-,h,a,p,o,-
waya1270,-,-,a,p,o,-
east2555,-,h,a,p,o,-
para1311,-,-,a,p,o,-
mbya1239,-,-,a,p,o,-
guar1292,-,c,a,p,o,-
nhen1239,-,s,a,p,u,-
kaya1329,-,-,a,p,o,-
amun1246,3,b,a,p,o,a
urue1240,3,b,a,p,o,a
tenh1241,3,b,a,p,o,a
paus1244,-,-,a,p,o,-
emer1243,-,-,a,p,o,-
toca1235,-,h,a,p,a,-
para1312,-,-,a,p,a,-
suru1262,-,-,o,p,o,-
anam1249,-,-,a,p,o,-
apia1248,-,r,a,p,o,-
guaj1256,-,-,a,p,o,-
araw1273,-,-,a,p,a,-
coca1259,-,c,a,p,u,a
omag1248,-,s,a,p,u,a
ache1246,-,-,a,p,o,-
xeta1241,-,-,a,p,a,-
siri1273,-,r,a,-,o,-
sate1243,-,-,a,p,o,-
awet1244,-,-,a,p,o,-
