language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
temb1276,-,-,m,-,o,-,-,N,-,i,-,-,z,-,-,e,-,-
tupi1273,-,-,m,-,o,-,-,n,-,3,-,-,y,-,-,-,-,-
guaj1255,-,-,m,-,u,-,-,k,-,u,-,-,h,-,-,e,m,-
kama1373,-,-,m,-,o,-,-,p,-,i,-,-,m,-,-,i,N,-
urub1250,-,-,m,-,u,-,-,k,-,a,-,-,h,-,-,e,m,-
waya1270,-,-,m,-,o,-,-,N,-,3,-,-,y,-,-,e,-,-
avac1239,-,-,m,-,o,-,-,k,w,a,-,-,-,-,-,e,m,-
east2555,-,-,m,-,o,-,-,n,g,3,-,-,y,-,-,e,-,-
para1311,-,-,m,-,o,-,-,n,d,3,-,-,-,-,-,i,-,-
mbya1239,-,-,m,-,o,-,-,n,-,3,-,-,-,-,-,-,-,-
guar1292,-,-,m,-,o,-,-,n,d,i,-,-,-,-,-,i,-,-
nhen1239,-,-,m,-,u,-,-,k,-,a,-,-,y,-,-,e,m,u
kaya1329,-,-,m,-,o,-,-,p,-,i,-,-,r,3,3,i,-,-
urue1240,-,-,m,-,o,-,-,N,-,3,h,3,y,-,-,i,-,-
paus1244,-,-,m,-,o,-,-,p,-,3,-,-,r,-,-,3,-,-
emer1243,-,-,m,-,o,-,-,-,-,i,-,-,-,-,-,i,-,-
para1312,-,-,m,a,a,-,-,n,-,-,-,-,-,-,-,a,-,-
tapi1254,-,-,m,a,a,-,-,n,-,-,-,-,-,-,-,a,-,-
anam1249,-,-,k,-,-,-,-,-,-,3,-,-,j,-,-,a,-,-
guaj1256,-,-,m,-,a,p,i,n,-,i,-,-,h,-,-,i,-,-
araw1273,-,-,p,-,a,-,-,r,-,i,-,-,r,-,-,i,-,-
coca1259,y,a,p,-,a,-,-,n,-,a,-,-,t,-,-,a,-,-
yuqu1240,-,-,b,-,-,-,-,-,-,i,-,-,r,-,-,i,-,-
siri1273,-,-,m,-,u,-,-,n,-,i,-,-,d,-,-,i,-,-
