language,x1,x2,x3,x4
temb1276,-,a,h,3
tupi1273,-,a,s,3
guaj1255,-,a,h,3
xing1248,-,a,h,3
kama1373,-,a,-,3
urub1250,-,a,h,3
waya1270,-,a,-,3
avac1239,-,a,-,3
east2555,-,a,s,3
para1311,-,a,s,3
mbya1239,-,a,C,3
guar1292,-,a,c,3
nhen1239,s,a,s,i
kaya1329,-,a,-,3
amun1246,-,a,h,3
urue1240,-,a,-,3
tenh1241,-,a,h,3
paus1244,-,a,h,i
emer1243,-,a,-,3
toca1235,-,a,h,3
para1312,-,a,h,3
tapi1254,-,-,C,e
suru1262,-,a,h,3
anam1249,-,a,h,3
guaj1256,-,a,h,3
araw1273,-,a,h,i
coca1259,c,a,C,i
omag1248,s,a,S,i
ache1246,-,a,C,3
xeta1241,-,a,C,i
yuqu1240,-,a,s,i
siri1273,-,a,s,i
sate1243,-,a,t,3
awet1244,-,a,t,3
