language,x1,x2,x3,x4,x5,x6,x7
temb1276,-,3,k,-,-,-,3
xing1248,-,a,k,-,-,-,3
waya1270,-,a,k,-,-,-,a
avac1239,-,a,k,-,-,-,a
east2555,-,a,k,-,-,-,a
para1311,-,a,k,-,-,-,a
mbya1239,-,a,k,-,-,-,a
guar1292,-,a,k,-,-,-,a
urub1250,-,a,k,-,-,-,a
nhen1239,-,a,k,a,N,-,a
amun1246,-,a,k,-,-,-,a
urue1240,-,a,k,-,-,-,a
tenh1241,-,a,k,-,-,-,a
emer1243,-,a,k,-,-,-,a
para1312,-,a,k,-,-,-,o
suru1262,-,o,k,-,-,-,o
guaj1256,-,a,k,-,-,-,a
araw1273,-,a,C,-,-,-,i
coca1259,c,a,k,a,m,i,a
omag1248,-,a,k,a,m,-,a
ache1246,-,a,k,-,-,-,a
xeta1241,-,a,k,-,-,-,a
siri1273,-,a,k,-,-,-,a
sate1243,-,e,N,-,-,-,a
awet1244,-,a,k,-,-,-,a
