language,x1,x2,x3,x4
temb1276,-,e,r,-
tupi1273,-,e,r,-
guaj1255,-,e,r,-
kama1373,-,e,t,-
urub1250,-,e,r,-
waya1270,-,e,-,-
avac1239,-,e,r,-
east2555,e,e,-,-
para1311,-,e,r,-
mbya1239,-,e,r,3
guar1292,-,e,r,-
nhen1239,-,e,r,a
kaya1329,7,e,t,-
amun1246,-,e,r,-
urue1240,-,e,r,-
tenh1241,-,e,r,-
paus1244,-,e,-,-
emer1243,-,e,r,-
toca1235,-,e,r,-
para1312,-,e,r,-
tapi1254,-,e,t,-
suru1262,-,e,r,-
araw1273,-,e,r,-
coca1259,-,i,r,a
omag1248,S,e,r,a
ache1246,-,e,t,e
siri1273,-,e,-,-
sate1243,-,e,t,-
awet1244,-,e,t,-
