language,x1,x2,x3,x4,x5,x6
temb1276,-,-,-,-,-,i
xing1248,p,a,r,a,n,3
kama1373,p,a,r,a,n,a
waya1270,p,a,r,a,n,a
avac1239,-,3,-,a,k,a
kaya1329,-,-,-,-,7,3
east2555,-,3,-,a,k,a
para1311,-,3,-,-,-,-
mbya1239,-,3,-,a,k,a
guar1292,-,3,-,-,-,-
urub1250,p,a,r,a,n,a
nhen1239,p,a,r,a,n,a
amun1246,p,a,r,a,n,a
urue1240,p,a,r,a,n,a
tenh1241,p,a,r,a,n,a
emer1243,-,-,-,-,7,3
toca1235,p,a,r,a,n,o
para1312,p,a,r,a,n,o
tapi1254,-,-,-,-,7,3
suru1262,p,o,r,a,n,o
guaj1256,-,-,-,-,7,3
araw1273,p,a,r,a,n,i
coca1259,p,a,r,a,n,a
omag1248,p,a,r,a,n,a
yuqu1240,-,-,-,a,m,a
siri1273,-,-,-,a,m,a
sate1243,-,i,-,-,h,3
awet1244,-,-,-,-,t,3
