language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
kama1373,c,i,h,-,-,-,-,w,-,r,-,-,a,-,p
waya1270,-,e,r,e,n,-,3,w,a,r,-,-,a,-,-
kaya1329,-,-,-,-,n,-,u,w,-,-,-,-,a,a,p
east2555,-,e,-,-,n,d,3,b,-,-,-,-,a,-,-
para1311,-,e,-,-,n,d,3,b,-,-,-,-,a,-,-
mbya1239,-,e,-,-,n,d,3,b,-,-,-,-,a,-,-
guar1292,-,e,-,-,n,d,i,b,-,-,-,-,a,-,-
urub1250,-,-,-,-,n,-,3,w,-,-,-,-,a,-,-
nhen1239,-,i,-,-,n,-,i,w,-,-,-,-,a,-,-
amun1246,-,e,-,-,n,-,3,b,a,h,a,b,a,-,-
urue1240,-,e,-,-,n,-,3,b,a,h,a,b,a,-,-
tenh1241,-,e,-,-,n,-,3,b,a,h,a,b,a,-,-
emer1243,-,e,-,-,n,d,e,w,-,-,-,-,a,-,-
para1312,-,e,-,-,n,-,3,w,a,h,a,w,-,-,-
suru1262,-,e,-,-,n,-,3,w,a,h,a,w,a,-,-
yuqu1240,r,o,r,u,m,-,-,b,-,-,-,-,a,-,-
siri1273,-,-,-,-,m,-,-,b,u,t,-,-,a,-,-
