language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
xing1248,-,-,-,-,-,-,-,a,-,-,i,-,p,-,-,-
waya1270,-,-,-,-,-,-,-,a,-,-,i,-,-,-,-,-
avac1239,-,-,-,-,-,-,-,a,-,-,3,-,w,-,-,-
east2555,-,-,-,-,p,-,-,o,-,S,3,-,-,-,-,-
para1311,-,-,-,-,v,-,-,a,-,-,i,-,-,-,-,-
mbya1239,-,-,-,-,-,-,-,a,-,-,i,-,-,-,-,-
guar1292,-,n,a,-,p,o,r,a,-,-,y,-,-,-,-,-
urub1250,-,-,-,-,-,-,-,a,-,-,i,-,-,-,-,-
nhen1239,-,-,-,-,p,-,-,u,-,S,i,-,-,-,-,-
emer1243,-,-,-,-,-,-,-,a,-,-,i,-,p,-,-,-
tapi1254,-,-,-,-,-,-,-,o,-,-,i,-,p,-,-,-
guaj1256,-,-,-,-,m,3,n,3,-,h,3,-,-,-,-,-
yuqu1240,-,-,-,-,-,-,-,e,-,t,i,a,b,e,t,e
siri1273,-,-,-,-,-,-,-,-,-,-,i,k,w,-,-,a
sate1243,i,n,a,k,w,-,-,a,t,7,i,-,-,-,-,-
