language,x1,x2,x3,x4
urup1245,-,k,o,m
yaru1257,-,k,o,-
orow1243,-,k,o,m
wany1246,-,k,o,m
wari1268,-,k,o,m
kuyu1236,-,k,o,m
itor1239,-,k,o,m
tora1263,-,k,o,m
kite1237,a,k,o,-
chap1269,a,k,u,m
