language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
urup1245,-,-,-,u,h,-,u,n,y,-,a,m,-,-,-,-,-
yaru1257,-,-,-,-,-,-,o,n,y,-,a,n,-,-,-,-,-
orow1243,-,-,-,i,f,-,i,-,y,-,a,m,-,-,a,-,-
wany1246,m,a,r,a,h,-,u,-,y,-,a,m,-,-,a,-,-
wari1268,-,-,-,-,p,-,i,-,y,-,e,-,-,-,-,7,-
wari1268,-,-,-,-,h,w,i,-,y,-,i,m,-,-,a,7,-
kuyu1236,-,-,-,-,-,-,-,-,r,-,a,t,-,-,o,-,-
itor1239,-,-,-,-,-,-,-,-,r,-,a,t,-,-,o,7,-
itor1239,-,-,-,-,-,-,-,-,y,-,-,-,-,-,o,m,a
tora1263,-,-,-,-,-,-,i,-,r,-,a,t,-,-,o,-,-
kite1237,-,-,-,-,-,-,-,-,-,-,e,t,i,-,w,-,-
chap1269,-,-,-,-,w,-,i,-,t,S,i,t,i,k,u,n,-
