language,x1,x2,x3,x4,x5,x6,x7,x8,x9
urup1245,k,-,r,a,k,a,-,w,-
yaru1257,k,-,r,a,k,a,-,o,n
orow1243,k,a,r,a,k,a,-,w,-
wany1246,k,a,r,a,k,a,-,w,-
wari1268,-,-,-,-,-,e,m,7,-
kuyu1236,k,a,r,a,k,a,-,w,-
itor1239,k,a,r,a,k,a,-,w,-
tora1263,k,a,r,a,k,a,-,w,-
