language,x1,x2,x3,x4,x5,x6,x7,x8,x9
orow1243,-,-,t,a,y,i,n,a,n
wany1246,-,-,t,a,-,i,-,-,n
wari1268,-,-,t,a,y,i,-,-,-
kuyu1236,-,-,t,a,n,-,-,-,-
itor1239,-,-,t,a,n,-,-,-,-
tora1263,m,u,r,a,m,i,-,-,-
kite1237,-,a,t,-,-,i,-,a,-
chap1269,S,u,5,-,-,u,-,-,-
