language,x1,x2,x3,x4,x5,x6
urup1245,-,-,e,t,e,-
yaru1257,-,-,e,t,e,-
orow1243,-,-,i,t,e,7
wany1246,t,-,a,t,a,-
wari1268,-,-,-,t,e,-
kuyu1236,-,-,i,t,e,-
itor1239,-,-,i,t,e,-
tora1263,-,-,i,t,e,-
kite1237,t,-,a,t,i,a
chap1269,t,i,a,t,i,a
