language,x1,x2,x3
orow1243,m,i,7
wany1246,m,i,n
wari1268,m,i,7
kuyu1236,m,i,7
itor1239,m,i,-
tora1263,m,i,7
kite1237,m,e,-
chap1269,m,i,-
