language,x1,x2,x3,x4,x5,x6
stan1290,-,-,-,p,l,i
stan1290,-,o,k,o,r,-
dutc1256,m,e,-,-,r,-
stan1295,m,e,-,-,r,-
stan1293,m,o,-,-,r,-
