language,x1,x2,x3,x4,x5,x6
dani1285,h,-,-,-,-,o
sout2730,t,-,u,m,-,a
sout2730,t,-,E,m,-,E
cent2004,t,-,3,m,-,a
cent2004,S,-,-,-,-,o
cent2004,S,-,-,-,-,a
nort2724,t,-,i,m,-,i
nort2724,t,y,u,m,y,E
nort2724,d,y,u,m,-,e
nort2724,t,-,e,m,-,e
nort2724,d,-,i,m,y,E
