language,x1,x2,x3,x4,x5,x6
stan1290,S,a,p,o,-,-
dutc1256,-,-,m,3,c,-
dutc1256,-,-,h,u,t,-
stan1295,-,-,m,i,c,3
stan1295,-,-,h,u,t,-
stan1293,-,-,h,E,t,-
