language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
stan1290,-,-,-,-,k,u,v,E,r,t,i,r
dutc1256,-,d,e,-,k,3,-,-,-,-,-,-
stan1295,-,d,E,-,k,3,-,-,-,-,-,-
stan1293,b,l,E,N,k,i,-,-,-,-,-,t
