language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
nucl1235,-,-,X,-,o,-,c,-,-,h,-,E,-,-,-,l,-,-,-,-
mode1248,-,-,m,-,a,-,S,-,-,-,-,e,-,-,-,r,-,o,n,o
stan1288,a,-,p,-,u,-,5,-,-,-,-,a,-,-,-,l,-,a,r,-
port1283,e,S,f,-,-,-,-,-,-,-,-,a,-,-,-,k,i,a,r,-
port1283,a,-,p,-,u,-,5,-,-,-,-,a,-,-,-,l,-,a,r,-
ital1282,a,-,k,-,o,-,l,-,-,t,-,e,-,-,-,l,-,a,r,e
ital1282,-,-,p,-,u,-,5,-,-,-,-,a,-,-,-,l,-,a,r,e
stan1289,3,-,p,-,u,n,5,-,-,-,-,3,-,-,-,l,-,a,-,-
stan1290,-,-,p,-,w,a,5,-,-,-,-,a,-,-,-,r,-,-,d,e
stan1290,-,-,p,-,w,a,5,-,-,-,-,a,-,-,-,r,-,-,d,e
swed1254,-,-,-,-,-,-,s,-,-,t,-,i,-,-,-,k,-,a,-,-
dani1285,-,-,-,-,-,-,s,-,-,d,h,e,-,-,-,g,h,3,-,-
dutc1256,-,-,-,-,-,-,s,-,-,t,-,e,-,-,-,k,-,3,n,-
dutc1256,-,-,-,-,-,-,s,-,-,t,-,e,-,-,-,k,-,3,-,-
stan1295,E,-,-,-,-,a,S,-,-,t,-,E,-,-,-,S,-,-,n,-
stan1295,-,-,-,-,-,-,S,-,-,t,-,E,-,-,-,x,-,3,n,-
stan1295,E,-,-,-,-,r,S,-,-,t,-,E,-,-,-,x,-,3,n,-
stan1293,-,-,-,-,-,-,s,-,-,t,-,E,-,-,-,b,-,-,-,-
stan1293,-,-,-,-,-,-,s,-,-,t,-,E,-,-,-,b,-,-,-,-
czec1258,-,-,p,-,i,-,x,-,-,n,-,o,-,-,u,-,-,-,t,-
russ1263,-,-,z,-,a,-,k,a,-,l,-,3,-,-,v,-,-,a,t,y
poli1260,-,-,p,-,-,-,x,-,-,n,-,o,C,n,u,S,-,E,m,-
mait1250,-,-,-,-,-,-,s,3,-,t,-,3,-,-,-,b,-,-,-,-
urdu1245,-,-,g,-,-,-,h,o,p,n,-,3,-,-,-,-,-,-,-,-
mara1378,-,-,b,h,o,-,s,3,k,n,-,e,-,-,-,-,-,-,-,-
