language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
nucl1235,-,-,-,-,-,-,o,-,-,-,-,v
mode1248,-,p,-,S,-,-,o,-,-,-,-,s
stan1288,-,-,-,k,-,y,e,-,-,-,-,n
port1283,-,-,-,k,-,a,i,-,-,-,-,-
ital1282,-,-,-,k,-,-,i,-,-,-,-,-
stan1289,-,-,-,k,-,-,i,-,-,-,-,-
stan1290,-,-,-,k,-,-,i,-,-,-,-,-
swed1254,-,-,-,v,-,-,e,-,-,-,-,m
dani1285,-,-,-,v,-,-,E,-,-,-,-,m
dutc1256,-,-,-,w,-,-,i,-,-,-,-,-
stan1295,-,-,-,v,-,-,e,-,-,-,-,a
stan1293,-,-,-,h,-,-,u,-,-,-,-,-
czec1258,-,-,-,g,-,d,o,-,-,-,-,-
russ1263,-,-,-,k,-,t,o,-,-,-,-,-
poli1260,-,-,-,k,-,t,o,-,-,-,-,-
bret1244,-,-,-,p,-,-,i,-,-,-,-,v
mait1250,-,-,-,k,-,-,e,-,-,-,-,-
urdu1245,-,-,-,k,-,-,o,-,-,-,-,n
mara1378,-,-,-,k,-,-,o,-,-,-,-,n
oriy1255,-,-,-,k,a,h,a,-,-,-,-,-
sout2730,a,-,-,5,-,-,i,-,-,-,-,-
sout2730,a,-,-,t,-,-,o,-,-,-,-,-
cent2004,o,-,-,n,-,-,o,y,-,-,e,n
cent2004,o,-,-,t,-,-,o,w,-,-,-,-
cent2004,a,m,a,t,-,y,u,-,-,-,-,-
nort2724,a,-,-,t,-,-,o,-,-,-,-,-
nort2724,a,-,-,t,-,-,o,-,-,-,-,-
nort2724,a,-,-,d,-,-,o,-,-,-,-,-
nort2724,a,-,-,m,-,-,a,-,-,-,-,-
nort2724,a,-,-,m,-,-,a,b,u,5,3,n
