language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
nucl1235,p,h,o,k,h,3,-,r,-,-,-,-
mode1248,m,-,i,k,-,-,-,r,-,-,o,s
stan1288,p,-,e,k,-,e,-,5,-,-,o,-
port1283,p,-,3,k,-,e,-,n,-,-,u,-
ital1282,p,-,i,k,-,o,-,l,-,-,o,-
stan1289,p,-,3,t,-,i,-,t,-,-,-,-
stan1290,p,-,3,t,-,i,-,-,-,-,-,-
stan1290,p,-,3,t,-,i,-,-,-,-,-,-
swed1254,-,-,-,l,-,i,-,t,-,-,E,n
dani1285,-,-,-,l,-,i,-,l,-,-,3,-
dutc1256,k,-,-,l,E,i,-,n,-,-,-,-
dutc1256,k,-,-,l,E,i,-,n,-,-,-,-
stan1295,k,-,-,l,a,i,-,n,-,-,-,-
stan1295,k,-,-,l,a,i,-,n,-,-,-,-
stan1293,-,-,-,s,m,o,-,l,-,-,-,-
stan1293,-,-,-,l,-,i,t,l,-,-,-,-
stan1293,-,-,-,s,m,o,-,l,-,-,-,-
czec1258,m,-,a,l,-,i,-,-,-,-,-,-
russ1263,m,-,a,l,y,e,-,n,y,k,3,y
poli1260,m,-,a,w,-,3,-,-,-,-,-,-
bret1244,b,-,-,-,-,i,a,n,-,-,-,-
mait1250,T,-,-,h,-,o,-,t,-,-,-,-
urdu1245,C,-,-,h,-,o,-,t,-,-,3,-
mara1378,C,-,-,-,-,o,-,t,-,-,a,-
mara1378,l,-,-,-,-,3,-,h,-,-,a,n
oriy1255,T,-,-,h,-,o,-,t,-,-,o,-
sout2730,-,-,-,s,-,e,-,-,-,-,-,-
sout2730,-,-,-,s,-,E,-,-,-,-,-,-
cent2004,-,-,-,s,-,e,-,-,-,-,-,-
cent2004,-,-,-,s,h,e,-,-,-,-,-,-
nort2724,-,-,-,s,-,E,-,-,-,-,-,-
nort2724,-,-,-,s,-,E,-,-,-,-,-,-
nort2724,-,-,-,s,-,e,-,-,-,-,-,-
nort2724,-,-,-,s,-,e,-,-,-,-,-,-
nort2724,-,-,-,s,-,E,-,-,-,-,-,-
