language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
nucl1235,k,-,h,-,-,i,t,h,-,-,-,-
ital1282,-,-,n,-,-,a,-,s,-,-,o,-
stan1290,-,-,n,-,-,E,-,-,-,-,-,-
swed1254,-,-,n,-,-,E,-,s,-,-,a,-
dani1285,-,-,n,-,-,E,-,s,-,-,3,-
dutc1256,-,-,n,-,-,e,-,s,-,-,-,-
stan1295,-,-,n,-,-,a,-,z,-,-,3,-
stan1293,-,-,n,-,-,3,u,z,-,-,-,-
czec1258,-,-,n,-,-,o,-,s,-,-,-,-
bret1244,-,-,-,-,-,-,-,f,-,r,i,-
oriy1255,-,-,n,-,-,a,-,k,-,-,o,-
sout2730,-,-,-,p,-,-,-,h,-,y,e,n
cent2004,-,-,-,p,-,-,-,-,-,y,e,n
cent2004,-,-,-,w,-,o,-,t,-,i,3,-
nort2724,-,-,k,h,w,E,-,C,i,y,-,-
nort2724,c,o,q,h,-,o,-,t,-,y,u,-
nort2724,-,-,v,-,-,3,-,d,-,y,u,-
nort2724,-,-,q,h,w,e,-,t,-,y,u,-
nort2724,-,-,t,-,-,i,-,t,-,y,i,-
