language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
nucl1235,-,-,-,-,-,-,-,-,-,o,i,n
mode1248,-,-,p,-,-,-,-,-,-,u,-,-
stan1288,-,-,-,-,e,-,s,-,-,e,-,-
stan1289,3,-,k,-,E,-,L,-,-,-,-,-
swed1254,-,-,d,-,E,-,n,-,-,3,-,-
dani1285,-,-,d,-,E,-,n,-,-,-,-,-
dutc1256,-,-,d,-,i,-,-,-,-,-,-,-
stan1295,y,e,n,-,a,-,-,-,-,-,-,-
stan1295,-,-,d,-,a,-,s,-,-,-,-,-
stan1293,-,-,8,-,E,-,t,-,-,-,-,-
czec1258,-,-,t,-,a,m,t,-,-,o,-,-
russ1263,-,-,t,-,-,-,-,-,-,o,-,t
poli1260,-,-,t,-,a,m,t,-,-,o,-,-
bret1244,-,-,-,-,a,n,s,-,-,e,-,-
mait1250,-,-,-,-,-,-,-,-,-,o,-,-
urdu1245,-,-,-,-,-,-,w,-,-,o,-,h
mara1378,-,-,-,-,-,-,t,-,-,o,-,-
oriy1255,-,-,s,-,e,i,t,-,-,a,-,-
sout2730,-,-,n,-,a,-,w,-,-,i,-,-
sout2730,-,-,-,-,-,-,p,u,c,o,-,N
cent2004,-,-,l,-,-,-,-,-,-,o,-,-
cent2004,-,-,n,-,-,-,-,-,-,o,-,-
cent2004,-,-,n,-,-,-,-,-,-,a,-,-
nort2724,a,-,p,-,-,-,-,-,-,o,-,-
nort2724,-,-,v,-,-,-,-,-,-,u,-,-
nort2724,-,-,b,-,-,-,-,-,-,o,-,-
nort2724,-,-,t,-,-,-,-,-,-,o,-,-
nort2724,-,-,t,w,a,-,x,-,-,3,-,-
