language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
piap1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,S,a,-,-,m,-,-,u
piap1246,-,-,-,-,-,-,-,-,a,-,-,-,-,p,-,-,i,t,S,a,-,-,-,-,-,-
curr1243,-,-,-,-,-,-,-,-,a,-,-,a,-,p,-,-,i,y,-,a,-,-,-,-,-,-
tari1256,-,-,-,-,-,-,-,-,a,-,-,m,-,p,-,-,i,-,-,a,-,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,-,a,-,-,-,-,p,-,-,i,y,-,e,-,-,-,-,-,-
resi1247,-,-,-,-,-,-,-,-,a,n,-,e,-,b,-,-,i,d,-,o,-,-,g,-,-,i
guah1255,-,-,-,h,-,-,-,-,a,-,-,-,-,b,-,-,3,t,s,a,-,-,-,-,-,-
cuib1242,-,-,-,h,-,-,-,-,a,-,-,-,-,b,-,-,-,t,s,a,-,-,-,-,-,-
maca1259,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,S,i,-,-,p,-,-,-
guay1257,-,-,-,7,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,i,-,-,t,-,-,-
sali1298,-,-,-,h,-,-,-,-,a,-,-,-,-,m,-,-,o,-,h,a,-,-,m,o,l,i
mini1256,-,-,-,-,-,-,-,-,e,-,-,i,-,m,-,-,-,-,-,o,-,-,-,-,-,-
nupo1240,-,-,-,-,-,-,-,-,e,-,-,i,-,m,-,-,-,-,-,o,-,-,-,-,-,-
muru1274,-,-,-,-,-,-,-,-,e,-,-,i,-,m,-,-,-,-,-,o,-,-,-,-,-,-
ocai1244,-,-,-,h,-,-,-,-,a,t,S,o,-,b,-,-,-,-,-,a,-,-,-,-,-,-
ocai1244,-,-,-,n,-,-,-,-,a,n,-,o,o,p,-,-,-,-,-,a,-,-,-,-,-,-
muin1242,-,-,-,p,-,-,-,-,a,-,-,a,-,p,a,-,i,b,-,a,-,-,-,-,-,-
bora1263,-,p,-,h,-,-,-,-,a,-,-,a,p,h,a,p,y,-,-,a,-,-,-,-,-,-
bora1263,-,m,3,n,-,-,-,-,e,-,-,-,-,p,-,-,-,-,-,e,-,-,-,-,-,-
bora1263,-,-,-,m,-,-,-,-,e,-,-,-,-,n,-,-,-,-,-,i,-,-,-,-,-,-
yuru1263,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,s,u,s,u,r,a
tuyu1244,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
waim1255,-,-,-,y,-,-,-,-,e,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,-
waim1255,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
waim1255,-,-,-,y,-,-,-,-,e,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,-
cara1272,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
tatu1247,-,-,-,y,-,-,-,-,e,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,-
bara1380,-,-,-,h,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-
macu1260,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
guan1269,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
pira1254,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
tuca1252,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,s,i,t,i,g,3
desa1247,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
siri1274,-,-,-,y,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
tani1257,-,-,-,h,-,-,-,-,e,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,a
cube1242,3,r,a,w,-,-,-,-,3,k,-,a,-,k,-,-,-,-,-,3,-,-,-,-,-,-
kore1283,-,d,-,Z,a,7,o,s,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
sion1247,-,-,-,s,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
seco1241,-,-,-,s,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
orej1242,-,-,-,s,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,e,-,-,-,-,-,-
cacu1241,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
puin1248,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
hupd1244,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,h,-,-,-
mala1522,-,-,-,p,-,-,-,-,a,k,-,i,-,r,-,-,-,-,-,a,-,-,-,-,-,-
chac1249,-,-,-,n,-,-,-,-,e,t,y,u,-,S,-,-,-,-,-,u,-,-,-,-,-,-
colo1256,-,-,-,m,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,e,-,-,-,-,-,-
embe1260,-,-,-,b,-,-,-,h,i,-,-,-,-,d,-,-,-,-,-,o,-,-,-,-,-,-
nort2972,-,-,-,p,-,-,-,-,i,-,-,-,-,d,-,-,-,-,-,o,-,-,-,-,-,-
epen1239,-,-,-,p,-,-,-,-,i,-,-,-,-,d,-,-,-,-,-,o,-,-,-,-,-,-
epen1239,-,-,-,p,-,-,-,-,i,-,-,-,-,d,-,-,-,-,-,o,-,-,-,-,-,-
embe1262,-,-,-,b,-,-,-,-,i,-,-,-,-,d,-,-,-,-,-,o,-,-,-,-,-,-
woun1238,-,-,-,b,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-
cari1279,-,-,-,w,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-,o,-,-,-,-,-,-
