language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
piap1246,-,-,-,-,w,-,-,i,-,-,-,-,s,-,-,u,-,a,n,a,-,s,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
acha1250,-,-,-,-,w,-,-,i,-,-,-,-,s,-,-,u,-,-,b,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-
acha1250,-,-,-,-,w,-,-,i,-,-,-,-,s,-,-,u,-,-,b,i,-,S,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
curr1243,m,a,-,-,l,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-
tari1256,m,a,-,-,l,-,-,i,-,-,e,-,t,-,-,i,-,-,-,-,-,k,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
tari1256,m,a,-,-,l,-,-,i,-,-,a,-,t,-,-,u,-,-,-,-,-,k,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
yucu1253,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,a,-,h,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
resi1247,b,a,7,a,g,-,-,a,-,-,-,-,d,-,-,-,-,-,-,-,-,Z,-,-,-,a,-,-,-,7,-,-,-,-,-,-,-,-
wayu1243,-,-,-,-,r,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
guah1255,-,-,-,-,k,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,i,-,u,-,p,-,a,-,-,-,-,-,-
cuib1242,p,a,-,-,k,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,h,a,-,b,i,-,-,-,w,-,a,-,-,-,-,-,-
